NU_ANO_CENSO,NO_REGIAO,CO_REGIAO,NO_UF,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,IN_CAPITAL,TP_DIMENSAO,TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,TP_REDE,CO_IES,NO_CURSO,CO_CURSO,NO_CINE_ROTULO,CO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,CO_CINE_AREA_ESPECIFICA,NO_CINE_AREA_ESPECIFICA,CO_CINE_AREA_DETALHADA,NO_CINE_AREA_DETALHADA,TP_GRAU_ACADEMICO,IN_GRATUITO,TP_MODALIDADE_ENSINO,TP_NIVEL_ACADEMICO,QT_CURSO,QT_VG_TOTAL,QT_VG_TOTAL_DIURNO,QT_VG_TOTAL_NOTURNO,QT_VG_TOTAL_EAD,QT_VG_NOVA,QT_VG_PROC_SELETIVO,QT_VG_REMANESC,QT_VG_PROG_ESPECIAL,QT_INSCRITO_TOTAL,QT_INSCRITO_TOTAL_DIURNO,QT_INSCRITO_TOTAL_NOTURNO,QT_INSCRITO_TOTAL_EAD,QT_INSC_VG_NOVA,QT_INSC_PROC_SELETIVO,QT_INSC_VG_REMANESC,QT_INSC_VG_PROG_ESPECIAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_DIURNO,QT_ING_NOTURNO,QT_ING_VG_NOVA,QT_ING_VESTIBULAR,QT_ING_ENEM,QT_ING_AVALIACAO_SERIADA,QT_ING_SELECAO_SIMPLIFICA,QT_ING_EGR,QT_ING_OUTRO_TIPO_SELECAO,QT_ING_PROC_SELETIVO,QT_ING_VG_REMANESC,QT_ING_VG_PROG_ESPECIAL,QT_ING_OUTRA_FORMA,QT_ING_0_17,QT_ING_18_24,QT_ING_25_29,QT_ING_30_34,QT_ING_35_39,QT_ING_40_49,QT_ING_50_59,QT_ING_60_MAIS,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_MAT,QT_MAT_FEM,QT_MAT_MASC,QT_MAT_DIURNO,QT_MAT_NOTURNO,QT_MAT_0_17,QT_MAT_18_24,QT_MAT_25_29,QT_MAT_30_34,QT_MAT_35_39,QT_MAT_40_49,QT_MAT_50_59,QT_MAT_60_MAIS,QT_MAT_BRANCA,QT_MAT_PRETA,QT_MAT_PARDA,QT_MAT_AMARELA,QT_MAT_INDIGENA,QT_MAT_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_DIURNO,QT_CONC_NOTURNO,QT_CONC_0_17,QT_CONC_18_24,QT_CONC_25_29,QT_CONC_30_34,QT_CONC_35_39,QT_CONC_40_49,QT_CONC_50_59,QT_CONC_60_MAIS,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_NACBRAS,QT_ING_NACESTRANG,QT_MAT_NACBRAS,QT_MAT_NACESTRANG,QT_CONC_NACBRAS,QT_CONC_NACESTRANG,QT_ALUNO_DEFICIENTE,QT_ING_DEFICIENTE,QT_MAT_DEFICIENTE,QT_CONC_DEFICIENTE,QT_ING_FINANC,QT_ING_FINANC_REEMB,QT_ING_FIES,QT_ING_RPFIES,QT_ING_FINANC_REEMB_OUTROS,QT_ING_FINANC_NREEMB,QT_ING_PROUNII,QT_ING_PROUNIP,QT_ING_NRPFIES,QT_ING_FINANC_NREEMB_OUTROS,QT_MAT_FINANC,QT_MAT_FINANC_REEMB,QT_MAT_FIES,QT_MAT_RPFIES,QT_MAT_FINANC_REEMB_OUTROS,QT_MAT_FINANC_NREEMB,QT_MAT_PROUNII,QT_MAT_PROUNIP,QT_MAT_NRPFIES,QT_MAT_FINANC_NREEMB_OUTROS,QT_CONC_FINANC,QT_CONC_FINANC_REEMB,QT_CONC_FIES,QT_CONC_RPFIES,QT_CONC_FINANC_REEMB_OUTROS,QT_CONC_FINANC_NREEMB,QT_CONC_PROUNII,QT_CONC_PROUNIP,QT_CONC_NRPFIES,QT_CONC_FINANC_NREEMB_OUTROS,QT_ING_RESERVA_VAGA,QT_ING_RVREDEPUBLICA,QT_ING_RVETNICO,QT_ING_RVPDEF,QT_ING_RVSOCIAL_RF,QT_ING_RVOUTROS,QT_MAT_RESERVA_VAGA,QT_MAT_RVREDEPUBLICA,QT_MAT_RVETNICO,QT_MAT_RVPDEF,QT_MAT_RVSOCIAL_RF,QT_MAT_RVOUTROS,QT_CONC_RESERVA_VAGA,QT_CONC_RVREDEPUBLICA,QT_CONC_RVETNICO,QT_CONC_RVPDEF,QT_CONC_RVSOCIAL_RF,QT_CONC_RVOUTROS,QT_SIT_TRANCADA,QT_SIT_DESVINCULADO,QT_SIT_TRANSFERIDO,QT_SIT_FALECIDO,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPRIVADA,QT_ING_PROCNAOINFORMADA,QT_MAT_PROCESCPUBLICA,QT_MAT_PROCESCPRIVADA,QT_MAT_PROCNAOINFORMADA,QT_CONC_PROCESCPUBLICA,QT_CONC_PROCESCPRIVADA,QT_CONC_PROCNAOINFORMADA,QT_PARFOR,QT_ING_PARFOR,QT_MAT_PARFOR,QT_CONC_PARFOR,QT_APOIO_SOCIAL,QT_ING_APOIO_SOCIAL,QT_MAT_APOIO_SOCIAL,QT_CONC_APOIO_SOCIAL,QT_ATIV_EXTRACURRICULAR,QT_ING_ATIV_EXTRACURRICULAR,QT_MAT_ATIV_EXTRACURRICULAR,QT_CONC_ATIV_EXTRACURRICULAR,QT_MOB_ACADEMICA,QT_ING_MOB_ACADEMICA,QT_MAT_MOB_ACADEMICA,QT_CONC_MOB_ACADEMICA
2015,Centro-Oeste,5,Goiás,GO,52,Aparecida de Goiânia,5201405,0,1,1,1,1,584,ENGENHARIA DE PRODUÇÃO,1300254,Engenharia de produção,"""0725E02""",7,Engenharia - produção e construção,72,Produção e processamento,725,Produção e processos de fabricação,1,1,1,1,1,40,40,0,0,40,0,0,0,806,806,0,0,806,0,0,0,42,21,21,42,0,42,0,42,0,0,0,0,0,0,0,0,0,40,2,0,0,0,0,0,21,0,17,0,0,4,60,26,34,60,0,0,60,0,0,0,0,0,0,31,0,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,11,0,6,0,17,17,11,0,5,0,0,0,0,0,0,0,7,14,2,0,16,26,0,18,42,0,0,0,0,0,0,0,0,7,1,4,0,16,0,16,0,0,0,0,0
2015,Centro-Oeste,5,Goiás,GO,52,Aparecida de Goiânia,5201405,0,1,1,1,1,584,ENGENHARIA DE TRANSPORTES,1313291,Engenharia de transportes,"""0732E03""",7,Engenharia - produção e construção,73,Arquitetura e construção,732,Engenharia civil e construção,1,1,1,1,1,40,40,0,0,40,0,0,0,641,641,0,0,641,0,0,0,40,17,23,40,0,40,0,40,0,0,0,0,0,0,0,0,3,30,3,2,1,1,0,0,14,4,19,1,0,2,27,14,13,27,0,1,24,2,0,0,0,0,0,8,4,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,10,0,8,0,10,10,6,0,6,0,0,0,0,0,0,0,5,8,0,0,18,22,0,12,15,0,0,0,0,0,0,0,0,6,6,5,0,1,1,1,0,0,0,0,0
2015,Centro-Oeste,5,Goiás,GO,52,Aparecida de Goiânia,5201405,0,1,1,1,1,584,GEOLOGIA,1313290,Geologia,"""0532G02""",5,Ciências naturais - matemática e estatística,53,Ciências físicas,532,Ciências da terra,1,1,1,1,1,40,40,0,0,40,0,0,0,504,504,0,0,504,0,0,0,43,13,30,43,0,42,0,42,0,0,0,0,0,0,0,1,1,37,4,1,0,0,0,0,17,0,20,1,0,5,32,11,21,32,0,1,31,0,0,0,0,0,0,12,0,16,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,10,0,8,0,12,12,8,0,5,0,0,0,0,0,0,0,1,10,0,0,19,24,0,13,19,0,0,0,0,0,0,0,0,5,5,4,0,15,15,14,0,0,0,0,0
2015,Centro-Oeste,5,Goiás,GO,52,Catalão,5205109,0,1,1,1,1,584,ABI - CIÊNCIAS SOCIAIS,5000903,ABI Ciências sociais - comunicação e informação,"""0011A03""",0,Programas básicos,1,Programas básicos,11,Programas básicos,,1,1,1,0,50,50,0,0,50,0,0,0,536,536,0,0,536,0,0,0,33,17,16,33,0,33,0,33,0,0,0,0,0,0,0,0,0,26,5,0,1,1,0,0,15,3,14,0,0,1,19,11,8,19,0,0,17,2,0,0,0,0,0,10,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,8,0,4,0,8,8,5,0,3,0,0,0,0,0,0,0,4,13,21,0,18,15,0,9,10,0,0,0,0,0,0,0,0,8,5,3,0,4,4,3,0,0,0,0,0
2015,Centro-Oeste,5,Goiás,GO,52,Catalão,5205109,0,1,1,1,1,584,ABI - HISTÓRIA,5000910,ABI Artes e humanidades,"""0011A02""",0,Programas básicos,1,Programas básicos,11,Programas básicos,,1,1,1,0,50,0,50,0,50,0,0,0,364,0,364,0,364,0,0,0,24,10,14,0,24,24,0,24,0,0,0,0,0,0,0,0,0,17,2,2,2,0,1,0,17,0,7,0,0,0,17,8,9,0,17,0,12,1,2,1,0,1,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5,0,3,0,6,6,3,0,3,0,0,0,0,0,0,0,2,11,20,0,15,9,0,11,6,0,0,0,0,0,0,0,0,11,5,5,0,1,1,1,0,0,0,0,0
2015,Centro-Oeste,5,Goiás,GO,52,Catalão,5205109,0,1,1,1,1,584,ABI - PSICOLOGIA,5000911,ABI Ciências sociais - comunicação e informação,"""0011A03""",0,Programas básicos,1,Programas básicos,11,Programas básicos,,1,1,1,0,56,56,0,0,50,0,6,0,1024,1024,0,0,989,0,35,0,52,45,7,52,0,50,0,50,0,0,0,0,0,2,0,0,1,44,6,1,0,0,0,0,31,1,20,0,0,0,46,41,5,46,0,1,40,5,0,0,0,0,0,26,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7,0,8,0,19,19,7,0,7,0,0,0,0,0,0,0,1,2,45,0,21,31,0,20,26,0,0,0,0,0,0,0,0,11,4,3,0,2,2,1,0,0,0,0,0
2015,Centro-Oeste,5,Goiás,GO,52,Catalão,5205109,0,1,1,1,1,584,ABI - QUÍMICA,5000913,ABI Ciências naturais - matemática e estatística,"""0011A05""",0,Programas básicos,1,Programas básicos,11,Programas básicos,,1,1,1,0,50,0,50,0,50,0,0,0,379,0,379,0,379,0,0,0,41,27,14,0,41,41,0,41,0,0,0,0,0,0,0,0,0,38,1,0,1,1,0,0,15,2,15,1,0,8,25,19,6,0,25,0,24,1,0,0,0,0,0,9,2,11,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,25,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,6,0,1,0,3,3,2,0,1,0,0,0,0,0,0,0,5,12,23,0,23,18,0,13,12,0,0,0,0,0,0,0,0,11,7,6,0,3,3,1,0,0,0,0,0
2015,Centro-Oeste,5,Goiás,GO,52,Catalão,5205109,0,1,1,1,1,584,ADMINISTRAÇÃO,102084,Administração,"""0413A01""",4,Negócios - administração e direito,41,Negócios e administração,413,Gestão e administração,1,1,1,1,1,55,0,55,0,50,0,5,0,1073,0,1073,0,1035,0,38,0,57,32,25,0,57,52,0,52,0,0,0,0,0,5,0,0,0,44,7,4,1,1,0,0,19,1,23,1,0,13,213,128,85,0,213,0,134,50,19,7,3,0,0,37,13,44,4,0,115,44,31,13,0,44,0,20,17,6,0,1,0,0,0,1,0,0,0,43,57,0,213,0,44,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,14,0,11,0,66,66,23,0,13,0,14,14,1,0,0,0,39,33,1,0,42,15,0,128,85,0,29,15,0,0,0,0,0,19,2,17,4,49,8,46,11,0,0,0,0
2015,Centro-Oeste,5,Goiás,GO,52,Catalão,5205109,0,1,1,1,1,584,CIÊNCIA DA COMPUTAÇÃO,14137,Ciência da computação,"""0614C01""",6,Computação e Tecnologias da Informação e Comunicação (TIC),61,Computação e Tecnologias da Informação e Comunicação (TIC),614,Ciência da computação,1,1,1,1,1,46,46,0,0,35,0,11,0,329,329,0,0,311,0,18,0,42,5,37,42,0,40,0,40,0,0,0,0,0,2,0,0,3,36,2,1,0,0,0,0,14,5,20,2,0,1,105,17,88,105,0,1,77,24,2,0,1,0,0,25,7,29,1,0,43,9,3,6,9,0,0,5,3,0,0,1,0,0,0,1,0,0,0,8,42,0,105,0,9,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,10,0,6,0,31,31,8,0,4,0,5,5,1,0,0,0,22,29,0,0,25,17,0,58,47,0,8,1,0,0,0,0,0,32,8,24,0,33,1,30,2,0,0,0,0
2015,Centro-Oeste,5,Goiás,GO,52,Catalão,5205109,0,1,1,1,1,584,CIÊNCIAS BIOLÓGICAS,102086,Biologia formação de professor,"""0114B01""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2,1,1,1,1,81,81,0,0,50,0,31,0,511,511,0,0,503,0,8,0,26,12,14,26,0,25,0,25,0,0,0,0,0,1,0,0,0,23,2,0,0,1,0,0,7,1,17,0,0,1,68,48,20,68,0,0,49,17,1,0,1,0,0,17,3,17,0,0,31,9,9,0,9,0,0,5,4,0,0,0,0,0,0,0,1,0,0,8,26,0,68,0,9,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,5,0,3,0,13,13,4,0,1,0,1,1,0,0,0,0,10,15,3,0,18,8,0,37,31,0,4,5,0,0,0,0,0,21,5,19,1,43,8,40,4,1,0,1,0
